Classifier,N_components,Training time,Training std,Testing time,Testing std
LogisticRegression,2,17.801409959793094,0.4268346541694773,0.060719973407685764,0.008525875079823237
LogisticRegression,3,18.78291997127235,0.5655540814592516,0.0629700254648924,0.009934075909839723
LogisticRegression,4,19.55362998414785,0.13108928573813014,0.060589960776269436,0.014796829565215837
LogisticRegression,5,24.842429975979037,0.19051526426266852,0.05486009176820517,0.006526636380458902
LogisticRegression,6,30.578059889376163,0.14030181655128604,0.054080039262771606,0.009473976415811004
LogisticRegression,7,33.366610039956875,0.14105142081337713,0.05507003515958787,0.010120116370018108
LogisticRegression,8,36.74928999971599,0.963392344415725,0.05513003561645747,0.010966440193738708
LogisticRegression,9,33.6316900793463,0.15978072592146078,0.057039968669414534,0.012532605517644266
LogisticRegression,10,34.258570009842515,0.11856379869255762,0.05577991250902414,0.010820417379737808
LogisticRegression,11,36.13326996564866,0.1877238159816832,0.05978001281619072,0.011374268035663876
LogisticRegression,12,44.351950031705194,0.7313410138523,0.05702995695173741,0.0112576340977611
LogisticRegression,13,61.85567993670703,0.6269275290227596,0.06923992186784744,0.01029478439445449
LogisticRegression,14,58.48727005068213,1.190276252694632,0.07845000363886356,0.029340218659983503
LogisticRegression,15,59.869939973577864,1.5372856126374848,0.06824005395174029,0.012696532031581092
LogisticRegression,16,64.1705500194803,0.8212421713126047,0.07204997818917037,0.019511944147163878
LogisticRegression,17,67.29811991099268,0.5480392000657096,0.07502997759729625,0.02029101990961948
LogisticRegression,18,67.67761006485672,1.0690258642362696,0.05278997123241425,0.04112355533208526
LogisticRegression,19,66.54969002120198,0.8736953680327738,0.07273987866938116,0.017064969242263174
LogisticRegression,20,66.13441000226885,0.518952490828685,0.07408997043967247,0.028621171907968913
LogisticRegression,21,72.14601000305267,0.22447512420036184,0.07584001868963243,0.017076505246681344
LogisticRegression,22,69.08438007812947,1.4089164500579328,0.06323994603008033,0.01733731231435367
LogisticRegression,23,69.14801001548769,1.4233258661552948,0.07126000709831716,0.016350643760088778
LogisticRegression,24,68.74199998565018,1.3704378892608888,0.07297997362911703,0.013577225824912232
LogisticRegression,25,72.65520007349552,0.2635934392404958,0.06889000069350006,0.023101790543053894
LogisticRegression,26,73.73043003026396,0.44779126219311144,0.06955007556825878,0.024177458141312325
LogisticRegression,27,93.24643001891674,0.4367115545568896,0.06725999992340803,0.020102221875219223
LogisticRegression,28,97.84647000487895,1.6452866536568314,0.18856988754123455,0.0323165766394795
LogisticRegression,29,102.38736001774669,1.1753562819849503,0.18726000562310222,0.029270124536955038
LogisticRegression,30,98.84258999954909,2.316470791982898,0.18438994884490967,0.03080177348349536
LogisticRegression,31,109.86485001631081,0.23124584785085972,0.1926499651744962,0.01852359496397884
LogisticRegression,32,108.30361996777356,0.9885679777849965,0.1909399870783091,0.034454289173685
LogisticRegression,33,99.030310055241,1.368194456682175,0.1838999334722758,0.025247854550465056
LogisticRegression,34,102.53989007323982,3.3275878738406472,0.186110008507967,0.029396370815667417
LogisticRegression,35,105.39714007172735,1.58685678590286,0.3250400302931667,0.28055494737481884
LogisticRegression,36,98.38642994873229,2.2728191889268015,0.1898799790069461,0.018410852471781747
LogisticRegression,37,101.76687000785023,0.8633252454760936,0.18419006373733282,0.03465257122256301
LogisticRegression,38,107.46656991541387,1.506104290821869,0.19515999592840672,0.03149163517177692
LogisticRegression,39,102.8561999555677,1.3271434179555455,0.17748000100255013,0.036338461768341455
LogisticRegression,40,83.6846500169486,0.9792454169020425,0.19372007809579378,0.029783358559316193
LogisticRegression,41,78.24826994910838,1.8006947290273765,0.19511003047227862,0.044930486596869906
LogisticRegression,42,81.46146000362933,0.7548036407821341,0.2031500218436122,0.0370603874148892
LogisticRegression,43,79.4797300361097,1.4947853973782705,0.1607200130820275,0.09622313343675681
LogisticRegression,44,82.85413004923613,0.6863346072747118,0.18593000713735824,0.05075022932164159
LogisticRegression,45,80.96871008165184,0.5886249886932335,0.2007599687203765,0.021435474752660645
LogisticRegression,46,82.03102003317326,1.3129501739951528,0.20578000694513324,0.0355048539743091
LogisticRegression,47,83.01554992794992,1.4284198331248874,0.20525006111711266,0.04062641504063103
LogisticRegression,48,72.44762997142972,2.740116367984746,0.19163000397384172,0.026880648235051204
KNeighborsClassifier,2,2.345150033943356,0.18043601393213804,30.56071002501995,0.22683870228580494
KNeighborsClassifier,3,2.67197999637574,0.08848313404175255,31.986619974486533,0.1515694499000027
KNeighborsClassifier,4,3.0636800220236187,0.08735216075223709,35.57591999415308,1.2622698861262596
KNeighborsClassifier,5,3.540119994431734,0.08428781424713186,38.89550003223121,0.0953986348155491
KNeighborsClassifier,6,3.8981899851933126,0.05407009338005818,46.454990049824126,0.2535931896245264
KNeighborsClassifier,7,4.411450005136431,0.040108298325608395,54.99307001009584,0.9225895779315094
KNeighborsClassifier,8,4.974960023537278,0.06751736914429603,70.33460007514805,0.3324296445988112
KNeighborsClassifier,9,5.237129912711681,0.08821723470293545,78.48976997192949,1.45796128632216
KNeighborsClassifier,10,5.8239500038325795,0.10829845476548007,92.66629004850985,0.6102690184814377
KNeighborsClassifier,11,6.192769994959237,0.06428381922016856,104.6243700198829,0.1349930041233142
KNeighborsClassifier,12,6.632500048726797,0.17072332065935428,114.83261997345835,1.1939429691050814
KNeighborsClassifier,13,6.947450060397387,0.040719090535988364,128.03129996173084,1.7135330247645648
KNeighborsClassifier,14,7.250640075653792,0.03535065892144896,143.53886998724195,1.0165617885590592
KNeighborsClassifier,15,7.690669992007316,0.061742022950990155,155.09798000566664,1.4703098378373523
