Classifier,N_components,Training time,Training std,Testing time,Testing std
LogisticRegression,2,28.804109944030643,0.11274962959163469,0.0633099116384983,0.010664944493543445
LogisticRegression,3,55.34964003600181,0.8400126464895796,0.06809995975345376,0.019660699821853228
LogisticRegression,4,74.07653997652234,1.6052247308958614,0.05516996607184413,0.033788722842458
LogisticRegression,5,28.81933995522559,0.7281910472582819,0.06222994998097422,0.010295621075944074
LogisticRegression,6,28.934279945679013,0.12114565045990193,0.06500005256384614,0.006702155142634947
LogisticRegression,7,30.0477999728173,0.2041805709152779,0.06264003459364177,0.010796170190621483
LogisticRegression,8,36.825469951145365,0.15739714037116115,0.0595499062910676,0.013910089867075905
LogisticRegression,9,74.31673991959542,1.6171257989851575,0.058699981309473515,0.02392173808304989
LogisticRegression,10,28.86696995701641,0.19352410978700438,0.06311999168246986,0.004739013739365282
LogisticRegression,11,75.25357003323734,1.709397521282706,0.06982993800193074,0.0356221878392373
LogisticRegression,12,41.02443004958333,0.4792362305165763,0.06297996733337641,0.00885909401652781
LogisticRegression,13,40.76460003852845,0.48966100329426454,0.06687000859528781,0.01172727535734073
LogisticRegression,14,78.37160991039129,1.682703918673851,0.06661005318164827,0.02527543583010609
LogisticRegression,15,25.279639940708883,1.1844527566959628,0.06130004767328502,0.015233830624316444
LogisticRegression,16,75.5821299739182,1.2575539210140647,0.061129895038902766,0.04218286316224933
LogisticRegression,17,37.93268010485917,0.8625784339392478,0.06014993414282798,0.01645242142368656
LogisticRegression,18,52.849399950355284,0.6339843379474196,0.07155996281653643,0.023412646454373374
LogisticRegression,19,40.66032003611326,0.3912579528931273,0.06727997679263355,0.021202595394212063
LogisticRegression,20,40.166990063153214,0.20483462923592652,0.06418998818844558,0.011885088053444915
LogisticRegression,21,51.181949907913804,0.29517266268096715,0.06944001652300359,0.014293687751763222
LogisticRegression,22,81.34398004040123,1.505782604366595,0.07059997878968716,0.023153565411558948
LogisticRegression,23,67.63145993463695,0.5060549573870468,0.05972008220851422,0.019230887854761885
LogisticRegression,24,30.059639993123714,0.26153728716134567,0.06470002699643375,0.013802031704307377
LogisticRegression,25,40.09553997311741,0.6095386135643052,0.06884993053972721,0.011874933655842138
LogisticRegression,26,41.04816997423769,1.168112594616322,0.06533004343509674,0.011367609056097757
LogisticRegression,27,28.769060038030148,0.10301410361562412,0.061700004152953625,0.00601985249583931
LogisticRegression,28,39.65231000911446,1.067083608282857,0.06547998636960983,0.01177626623562403
LogisticRegression,29,40.32189992722124,0.3563258399600614,0.05951998755335808,0.014747951086660577
LogisticRegression,30,29.00693002156914,0.26009752518089724,0.06311999168246984,0.008043359770901789
LogisticRegression,31,77.34778993763031,0.9167687470429279,0.06125993095338345,0.0221766725266369
LogisticRegression,32,44.469409994781024,0.4306581242205276,0.06776002701371911,0.015490645808896133
LogisticRegression,33,37.53975003492087,0.3911932345681987,0.06480005104094745,0.01208220537966923
LogisticRegression,34,40.14986990951003,0.3111479235800403,0.06909996736794712,0.01847271446382133
LogisticRegression,35,24.711249931715432,0.2912920087391264,0.06367997266352178,0.007350686998087487
LogisticRegression,36,41.17767000570893,0.5676692299619331,0.06308008451014756,0.014790865487197524
LogisticRegression,37,73.9451700123027,1.2604712638515776,0.06411995273083448,0.036608197512643804
LogisticRegression,38,39.729549922049046,0.2666069233126066,0.07126994896680117,0.017162687359938932
LogisticRegression,39,44.94270994327963,0.5969127344796546,0.06822003051638605,0.015753856966160707
LogisticRegression,40,75.45067004393786,0.6818182267639807,0.0688700471073389,0.025905971109452218
LogisticRegression,41,40.520129934884615,0.7975560365154998,0.06128002423793079,0.022100899087343
LogisticRegression,42,36.89885996282101,1.1302564723130877,0.0665000639855862,0.01632819144523109
LogisticRegression,43,28.88353997841477,0.11403832974244099,0.06565002258867027,0.019553085570949535
LogisticRegression,44,28.880090010352436,0.19736127997190445,0.06391992792487146,0.010951932641203482
LogisticRegression,45,84.29161997046323,1.327561040834595,0.07485009264200926,0.029770654122555647
LogisticRegression,46,34.33735999278725,0.37439038606155484,0.05112998187541962,0.02499296333521701
LogisticRegression,47,40.11763012968004,0.8102479646127735,0.06849993951618671,0.02092969022776256
LogisticRegression,48,30.917560029774904,0.4183143516553192,0.06269004661589861,0.011762919600451543
KNeighborsClassifier,2,5.938940006308258,0.05339877812682421,61.97965000756085,1.806853046448882
KNeighborsClassifier,3,6.863270048052073,0.04529475731404363,88.87377004139125,2.0576002016494677
KNeighborsClassifier,4,6.464269920252264,0.037775185418713594,73.82712000980975,0.49581965536771905
KNeighborsClassifier,5,5.948050017468632,0.04640513927240732,60.96479003317654,1.4345360978493984
KNeighborsClassifier,6,0.6761299213394525,0.11632730681145564,35.535570024512715,1.833527832072171
KNeighborsClassifier,7,5.003359983675182,0.03401023018436989,44.50383002404124,0.26767870635548047
KNeighborsClassifier,8,6.426409957930447,0.046622569441933125,74.29261996876448,1.2875349438596366
KNeighborsClassifier,9,0.7482201326638461,0.15939348774827902,36.594099993817515,2.915259237702134
KNeighborsClassifier,10,0.6181999575346709,0.021414438650563954,37.16448002960533,8.503988223124763
KNeighborsClassifier,11,0.8226699894294143,0.12583543287564228,39.634880051016815,6.380808783663579
KNeighborsClassifier,12,6.514029949903487,0.19497999149523879,69.72494004294279,0.7984099801286881
KNeighborsClassifier,13,0.7709899451583625,0.042109443121184566,33.250859938561916,4.377899673211121
KNeighborsClassifier,14,8.815610059536995,0.07478727578671936,154.49852999299767,1.3020187101865068
KNeighborsClassifier,15,0.715780002065003,0.05150691543107853,34.59596994798631,2.98648457076503
