Classifier,N_components,Training time,Training std,Testing time,Testing std
LogisticRegression,2,17.27748997509479,0.6503026952466205,0.05297993775457144,0.015685869060414314
LogisticRegression,3,16.39188006520272,0.1435299061530699,0.05581993609666825,0.007748594933866427
LogisticRegression,4,24.650529935024682,0.47218730191880814,0.056710001081228256,0.01248386045641792
LogisticRegression,5,28.98940010927618,0.1157763571470854,0.060170050710439696,0.0060534380463000016
LogisticRegression,6,34.029090031981475,0.9795611928373055,0.05916005466133357,0.015085284120106816
LogisticRegression,7,28.66045008413494,0.9823224802260899,0.05377007182687522,0.023128334810173932
LogisticRegression,8,28.652650001458824,0.20047435153446772,0.05715994630008936,0.010553449724514474
LogisticRegression,9,30.89267003815622,0.18714933669210237,0.05901993717998267,0.015205798860441254
LogisticRegression,10,31.12042003776878,0.353006207579336,0.06948998197913171,0.04050810720151214
LogisticRegression,11,30.02976006828249,0.09692233029921798,0.04838001914322376,0.031468774031157894
LogisticRegression,12,31.77197996992618,0.23259926148554225,0.058529945090413094,0.01426422821324019
LogisticRegression,13,33.214879990555346,1.1563509922469355,0.05878002848476173,0.01598449859560386
LogisticRegression,14,34.241229924373336,0.38826909656411596,0.050419964827597155,0.03546487376970894
LogisticRegression,15,36.32946000434459,0.2338196113054042,0.059329927898943424,0.01659666943214781
LogisticRegression,16,47.70853996742518,0.4456945546665741,0.05895001813769341,0.018520565464846473
LogisticRegression,17,43.337949994020164,0.4954971873892417,0.06118000019341708,0.019091369180298468
LogisticRegression,18,50.55541000328959,0.18738944339440733,0.05997004918754102,0.020200438116556706
LogisticRegression,19,47.50063999090343,0.8286571088783291,0.07076999172568323,0.0321333081901034
LogisticRegression,20,50.079849944449975,0.5194898799925077,0.061529944650828845,0.023961461098888633
LogisticRegression,21,51.783520029857755,0.3297661106675241,0.06329994648694992,0.01909497543091372
LogisticRegression,22,55.44013998005539,0.46207089471493235,0.0637300778180361,0.024023976908619297
LogisticRegression,23,54.87259002402425,0.8029475501064689,0.06343992426991463,0.02151941461152748
LogisticRegression,24,53.21738997008652,0.351094445359123,0.06675999611616136,0.025757173701133135
LogisticRegression,25,57.40719998721035,0.8604494202234925,0.06636998150497676,0.024642876050512266
LogisticRegression,26,56.10876991413534,0.6556848418209134,0.06577004678547384,0.02563817017721739
LogisticRegression,27,71.56114992685616,0.8218225430601102,0.05564994644373657,0.025334882420183957
LogisticRegression,28,73.5289498930797,2.599097890097947,0.06371003109961751,0.018137725609334892
LogisticRegression,29,75.8345600217581,1.7085317760137002,0.0650599366053939,0.026616430094736434
LogisticRegression,30,69.70632004085928,2.2195943884546168,0.06579000037163496,0.028791116546957297
LogisticRegression,31,75.49578000325711,1.0398953623032001,0.06946995854377747,0.029383863325391266
LogisticRegression,32,72.80559998471291,0.6679048325610366,0.057300017215311534,0.02975241814806456
LogisticRegression,33,77.45527999941261,0.8532719146429768,0.06328995805233717,0.02146220531554711
LogisticRegression,34,76.29362998995931,2.4550821187319363,0.055350060574710376,0.030473311940618936
LogisticRegression,35,77.23309006541967,0.9547191450247988,0.05692995619028808,0.03206878975239978
LogisticRegression,36,80.27961007319392,2.223762915613081,0.06681999657303095,0.03371211535608807
LogisticRegression,37,82.3215199634433,1.4947077020575539,0.05827003624290231,0.03095043129013792
LogisticRegression,38,82.7365699922666,0.7831761698266559,0.05941994022578002,0.034822613343938894
LogisticRegression,39,77.18954994343221,1.0935315460824182,0.06885994225740434,0.025634729526904283
LogisticRegression,40,80.91056998819116,1.7402691801950958,0.06329999305307867,0.03254305897881824
LogisticRegression,41,77.4556600023061,2.663949299938783,0.05950001068413257,0.03469690167233115
LogisticRegression,42,86.0670299967751,1.3601635569507193,0.07118007633835079,0.03697373820766944
LogisticRegression,43,83.01057994831353,1.9847591814480294,0.06298008374869822,0.03717129587971246
LogisticRegression,44,81.29251992795619,0.4688963625801394,0.059840036556124694,0.03915365626427469
LogisticRegression,45,83.92564994283022,1.8066290638121663,0.07339995354413988,0.039527009846202055
LogisticRegression,46,82.9144699731842,1.379899022301503,0.0692999688908458,0.035931529116432506
LogisticRegression,47,85.65100999549033,2.249091541139059,0.06784009747207166,0.03019837861477043
LogisticRegression,48,73.40532999951394,1.0275019077867027,0.08113007061183454,0.052447919482445954
KNeighborsClassifier,2,1.905020116828382,0.06174852226149352,75.69223002064975,0.20059951976050538
KNeighborsClassifier,3,2.8665800578892235,0.048855306068976,34.16436999104917,0.10691774436416349
KNeighborsClassifier,4,3.3374100225046277,0.04707844186362847,37.236069957725704,0.2287456466703907
KNeighborsClassifier,5,3.7523100385442376,0.035226860909998534,39.791889954358346,0.3121356731843016
KNeighborsClassifier,6,4.111420013941824,0.030144311737396186,44.57637001760305,0.48532665858565666
KNeighborsClassifier,7,4.610369889996947,0.03145086531650942,42.881270055659115,0.26280860058249844
KNeighborsClassifier,8,4.991509951651097,0.01741468206031489,46.33154999464752,0.5373090860747511
KNeighborsClassifier,9,5.422300030477345,0.011789877322522149,52.818210003897555,0.7690491659237504
KNeighborsClassifier,10,5.888460017740727,0.04781104017802629,59.668580023571856,0.30427923244382554
KNeighborsClassifier,11,6.354189943522216,0.17446681349084273,65.79542998224497,0.3293684267177637
KNeighborsClassifier,12,6.832209997810424,0.038043662021031606,74.89650999195874,1.1501435741086798
KNeighborsClassifier,13,7.179369986988604,0.04167593100283916,94.36039002612236,1.500669103787839
KNeighborsClassifier,14,7.757939980365336,0.05840689322322289,90.44638006016615,0.5558944295200966
KNeighborsClassifier,15,8.33243001252413,0.13552252427433756,108.10701993759722,2.162139537321403
