n_components,init,Results
38,nndsvda,0.06792762424417309
37,nndsvdar,0.04903339410553398
22,nndsvd,0.05502136864241891
23,nndsvda,0.059452361590220604
8,nndsvdar,0.06750960769139969
5,nndsvdar,0.06750960769139969
44,nndsvd,0.0449680290132608
47,nndsvdar,0.033974217721873146
30,nndsvd,0.04518754126170099
3,nndsvdar,0.06750960769139969
