DR_Model,N_components,Fit time,Fit std,Pred train time,Pred train std,Pred test time,Pred test std
PCA,2,4.457960001309401,3.6309797607926297,0.64840000050026,0.13652031970775155,0.06582999994861895,0.03337113828972007
PCA,3,7.6754700021410835,0.40369383275849974,0.8043199974054005,0.06662603869897506,0.07715000028838405,0.03557933625560199
PCA,4,12.48151999898255,0.6966141738293883,0.7942499993077944,0.01243096589607768,0.06862999871373178,0.038615037721610776
PCA,5,9.24782000074629,0.8217581204528386,0.8092300042335409,0.02475885237533952,0.07495000099879692,0.04101033596020097
PCA,6,10.29823000353645,2.5336177625801866,0.8098599981167355,0.054590627847369594,0.07784000190440565,0.04330764380899658
PCA,7,10.158050000609366,0.7337858117004339,0.8158600030583331,0.029583761688913763,0.07939000061014669,0.04448854659610009
PCA,8,11.3389099984488,0.9784334275576964,0.7352700013143477,0.17190013053746372,0.07462999928975479,0.041714435177906135
PCA,9,10.936259998561585,1.2814275703119493,0.7892899993748872,0.029548040062068442,0.1986399991437793,0.023577502376387862
PCA,10,13.187249998009065,1.6781363786340069,0.8064599991485011,0.055061756022133854,0.19820000306935984,0.03837000853007566
PCA,11,14.330039998458235,0.35393843373869577,0.7925800011435059,0.12246826197422588,0.18807000160450119,0.015623945309616385
PCA,12,14.627780000591883,0.5639895227157716,0.7842599974537735,0.07404817144520372,0.1923400013765786,0.01837926570761949
PCA,13,16.53233999750228,1.0768906989424758,0.7975499989697707,0.0682687494389376,0.21606000154861252,0.04401612018446114
PCA,14,15.585800001281314,0.9669362808405149,0.9871400005067701,0.10137235713080096,0.1947700016899035,0.0305852061107961
PCA,15,20.71876000190969,3.593409284939728,1.2392499986162875,0.4117882522683036,0.2358199992158916,0.0778013619086976
PCA,16,20.136950000596702,3.6434038281275862,1.0341700006392784,0.16597076364665275,0.33182000188389804,0.12854121219252457
PCA,17,17.63474999752361,5.794202775417391,0.9425000003830065,0.11277705862175642,0.20248000146239067,0.04047873157970631
PCA,18,19.349430000147553,1.6381395193734973,0.8686899993335828,0.08848386093900139,0.20793000439880416,0.05016233706964975
PCA,19,20.477510000637274,0.9420468597308762,1.1891599991940895,0.30549118284942095,0.21455000096466395,0.06106263168923642
PCA,20,19.759479996719165,2.990786122389073,1.10337000223808,0.12351764066048344,0.19831000245176256,0.035817814404082354
PCA,21,22.444709997216705,0.6742903594459205,0.9359500007121825,0.0488536173745997,0.19670000037876895,0.032739028825865685
PCA,22,22.249039997404907,1.4556982673568664,1.0864799973205663,0.04401032920444818,0.23174999805632984,0.09312542875328407
PCA,23,23.871539997344374,1.575475079030834,1.0524199999053963,0.09820387435561774,0.19724999947356994,0.026599162956696988
PCA,24,22.764780001307372,3.7176017994172854,0.9978199988836425,0.09065446903634476,0.19313000011607076,0.03483132055122286
PCA,25,25.441839997802163,1.0695753673581234,2.3468399966077413,1.8246755497986633,0.1939100002346095,0.025057075056346065
PCA,26,26.000130003376395,1.134487927343052,0.961139998980798,0.03964255382431685,0.19664999999804425,0.028947694065765615
PCA,27,27.468099998804973,1.6673030385920287,1.2662399996770548,0.21215034212920836,0.19752999796764925,0.03163291260935329
PCA,28,27.940490000764843,2.1714220302024874,1.3201399968238547,0.3999461924275891,0.19859000094584192,0.027880333089354448
PCA,29,29.34331999640563,3.179353090518028,1.1665999998513146,0.1290497211617189,0.2047800007858314,0.039443581147934254
PCA,30,29.680169997300254,1.0072636595837778,1.1913199989066923,3.2144412468693373,0.19968000196968205,0.031034951726921122
PCA,31,31.38112999949953,2.186737438465787,1.3429799997538796,0.19161839459118923,0.21128000007593073,0.05170784184034901
PCA,32,33.37164999975357,2.096455941674895,1.2076199978764637,0.11693312112649791,0.19627999790827746,0.03340849617959656
PCA,33,33.13107999929343,3.00126978971966,1.2438199992175214,1.868969963597909,0.20763999928021806,0.0315077984503532
PCA,34,33.32119999831776,1.158290717634493,1.2612999998964372,0.13014059730479555,0.19414000053075145,0.0373863803479084
PCA,35,34.439340000972145,2.1350518041547493,1.2147599991294558,0.08642247837828762,0.1782400002412032,0.04700869211843604
PCA,36,36.94089999698918,2.161071867745929,1.1620599965681322,0.18883301483696346,0.20252000176697038,0.03946540996523532
PCA,37,37.25221999848145,0.21956220485454436,1.835850001225481,2.8514538317995184,0.2034099990851246,0.04369641960493263
PCA,38,36.52363999717637,1.813400752986741,1.180419995216653,0.10360383327149489,0.19501999922795224,0.041312043440893904
PCA,39,11.148589999356775,2.1873243390584722,1.3265699992189186,0.13307257845125997,0.19893999924534,0.05029867848367179
PCA,40,11.799000001337845,0.7831672280611987,1.2569499980600085,0.20112086926576053,0.19696000017574994,0.03235270190865933
PCA,41,11.467100001027578,0.43509759954176547,1.354490000085207,0.11704507571904844,0.1934699997946155,0.039969063956065545
PCA,42,12.689420003880512,0.6279364638760543,1.4293399981397674,0.2115465468319424,0.19853000048897232,0.038753765554134595
PCA,43,11.352679998526584,0.5689234168788625,1.4112800017755947,0.21669597587145525,0.204569998459192,0.03119510016626782
PCA,44,11.235209998267237,1.754629458331015,1.4993499993579462,0.25674880627806906,0.20152000215603041,0.04307563016697285
PCA,45,11.349999999947613,0.7258140944522913,1.4244400015741123,0.23886149186942066,0.20147999748587608,0.04000194547216567
PCA,46,11.946889999671841,2.7296730751219704,1.516430005722214,0.4805517271365547,0.19381999954930512,0.038822105893531085
PCA,47,12.090370001533303,0.4925200766557334,1.388730001053773,0.20225975104723012,0.18846000020857903,0.03761611163834829
