DR_Model,N_components,Fit time,Fit std,Pred train time,Pred train std,Pred test time,Pred test std
NMF,2,8.6987600014254,0.6069854769202112,0.4494499997235835,0.08375083556355829,0.1545500024803914,0.037702412809469
NMF,3,10.358189998078162,0.6930121798076018,1.1002999999618626,0.19984945396484952,0.22408000149880541,0.02931170647826264
NMF,4,14.604140003939392,3.7840975283303395,2.347189997090027,0.1244260318988277,0.40613000091980217,0.046608005237837986
NMF,5,12.182769999344602,1.6247628944560495,3.1392699980642655,0.08045771421666678,0.689580000471324,0.054556770531649146
NMF,6,13.200710003729913,0.5523737003446079,4.180350000387989,0.03963837561489459,0.9222300017427189,0.021594597519552398
NMF,7,15.929100002540508,2.456312726287908,4.378289997839603,0.1413824234931058,1.0493500005395617,0.04543914263007675
NMF,8,15.561099998740245,0.7500278718163289,3.6569299991242588,0.1137051712285859,0.8617100000265057,0.06454352022353758
NMF,9,16.678240002511306,1.10202679114895,5.3557999977783775,0.06878793757376798,2.0392100035678595,0.03692086860620299
NMF,10,19.652319999295287,1.3811207343604404,5.030540000007023,0.14700697700280946,1.8494699987058996,0.02565943333123166
NMF,11,21.181600001727933,0.598169801272084,4.864209998777368,0.07227756032161335,1.737620000494644,0.023649973303851157
NMF,12,21.256379997794287,0.4215836845531431,6.100199998763856,0.21745057906870363,2.260980001301505,0.24999411350576925
NMF,13,22.881790000974437,2.520685779801084,7.009759998618393,0.21915230108069497,2.303839998785407,0.046469605490537184
NMF,14,24.956009999004895,1.576850069090775,10.294129997782877,0.5084213299227649,2.945709999767133,0.019766565476442687
NMF,15,29.306800001359075,1.6315340345422156,10.633370002324227,0.17874744016391256,2.852939996955684,0.07808574981123316
NMF,16,29.720580002322098,1.6178865789461128,9.619419998489322,0.12320123036369426,2.5346900001750328,0.06451783233161826
NMF,17,32.72636000183411,0.48346655606611655,10.517069999332309,0.739718290504571,2.798419999453472,0.09505037639330108
NMF,18,33.16225999733433,1.7996671398187243,15.685929999744982,0.6902992712296254,3.905579997081077,0.057476570282258506
NMF,19,35.74550999983331,0.5803050649903417,12.463109999953303,0.27288765053700526,3.1289500024286103,0.018991600040029605
NMF,20,35.17168999969727,0.6997604012643613,16.45845999883022,0.3680996111389313,3.9804599990020506,0.06832352615431486
NMF,21,37.92314999955124,1.101797802801909,22.79694000026211,1.4474458511719397,5.555650003225311,0.13280623087559168
NMF,22,38.943190001009505,0.6340859064909792,24.25672000172199,0.6253068435318305,5.941299998812611,0.19049477153332695
NMF,23,51.708109997707645,3.119554120633422,28.49234999885084,0.5154407278163635,7.05668000082369,0.08765398356092978
NMF,24,68.51494999864373,2.9749371216482485,42.50679000033415,3.135579664119055,10.521619999053657,0.15236094674968972
NMF,25,87.14112000088791,1.464138365049452,40.22605000063778,5.593776997931304,8.857389999320732,0.13303285945122748
NMF,26,83.25875000082306,2.4017301055864055,28.514839999115793,1.8239990269273865,6.63914999968256,0.11170801860186517
NMF,27,6638.351489998604,1863.1467911931434,27.81639999957406,0.1406675268979362,6.579010001587449,0.09258525272940749
NMF,28,110.30492000209053,1.178710042587804,34.36456000054022,0.3142612169225514,7.9563300001609605,0.2597655456688006
NMF,29,126.12888999792632,0.3783227654062524,28.25453999757883,1.6664973425588727,6.389940002554795,0.21771436864787577
NMF,30,1598.7909000010404,1541.7382602132716,79.17930999974489,1.005892978993677,17.64045000309125,0.2363251225134888
NMF,31,107.53208000023736,4.263054882971967,22.793739999906396,0.29015689812278056,5.237169995962177,0.17915695857465092
NMF,32,92.63402999858955,1.0357588425307414,24.11554000136676,0.17787871941542974,5.427520000375808,0.16603702563971542
NMF,33,49.70137000273099,1.4015252913830096,79.15903000102844,1.1347917896878557,18.883870002900952,0.5325080843554872
NMF,34,252.3470099986298,1.4344574213600667,36.617220001789974,0.6096107278662408,8.74636999942595,0.6790346768145831
NMF,35,55.17700999625958,1.6712986825052452,55.55437999937568,0.30680811693995164,13.33507000235841,0.650917697295387
NMF,36,53.81049000134225,0.6924199360399477,68.76573999979885,2.4075145307893973,16.684360000363085,0.8166625102429884
NMF,37,58.241099998122074,2.0311046551868905,67.32341000024464,0.4890178240987094,15.966190000472128,0.4769399372743641
NMF,38,56.87536999976146,1.0845545010579896,82.84893999953059,1.103280190749659,20.150689999718452,1.2393440071600894
NMF,39,57.052630001271616,1.7572966171245623,99.66929000220263,1.885983802514146,24.496210000506842,1.2835316361794866
NMF,40,58.7008300011803,1.1621314084493024,83.42359000162106,2.315974201828545,21.039559997007018,2.378519361728729
NMF,41,60.479399999167086,1.2867495399232425,102.11507999847527,2.1563971973649507,24.683749995892875,2.3183230332812936
NMF,42,59.997420002764564,2.037693375424351,92.66336999935449,1.5311599733206278,23.026209998351995,1.5197894532192582
NMF,43,63.0545300009544,0.9567127337272285,80.46103999877232,1.2428613284391996,20.37191999843344,1.0398136664970914
NMF,44,62.7884899986384,1.5442220698398474,60.834249999606975,2.3699640045608255,14.949670001806226,0.7954165591212732
NMF,45,64.60466999633354,2.200806290334989,90.44003000162776,3.0895566560029284,22.626410001976183,1.0172756571942339
NMF,46,65.65442999926746,1.8387227382250784,140.15676999697465,2.0545187130821803,35.67209000393631,1.1216242610220488
NMF,47,68.30644000001485,2.258623293644553,224.21516999820602,0.9833401866019384,56.48751000117045,1.9951672056692102
