DR Model,N_components,Fit time,Fit std,Pred train time,Pred train std std,Pred test time,Pred test std
AE,"[48, 32, 16, 8, 4, 2]",11341.773770000147,279.0093746614088,253.4042599989334,35.054801929497486,93.41599999970641,9.544778647298923
AE,"[48, 32, 16, 8, 4]",10102.673610000786,112.71727184008643,220.11549000162637,60.321725604399056,90.68908000044758,4.9624483782106354
AE,"[48, 32, 16, 8]",8890.756489997877,152.25066126098338,241.22760000173005,31.36094987342487,85.27175000199351,7.966682614393625
AE,"[48, 32, 16]",7610.502859997359,60.72175233955479,230.71921000082511,24.957604140564634,82.35547000149381,6.163335559612316
AE,"[48, 32]",6336.173550000969,143.80719401762977,212.68507999848225,14.521073072238247,79.98702000186316,3.34651902591889
